Chinese,English
的,of
我,I
你,you
了,Over
是,Yes
在,exist
我們,us
他,he
嗎,?
不,Do not
и,bleak
有,Have
說,Say
好,it is good
就,At once
吧,Bar
她,she
來,Come
知道,Know
都,All
什麼,what
對,right
去,go
也,also
很,very
啊,what
要,want
他們,them
琌,Bleak
那,That
人,people
沒,No
為,for
會,meeting
和,and
想,think
ぃ,Bleak
讓,Let
把,Bundle
不是,no
到,arrive
做,Do
一個,One
這,This
什么,what
得,have to
l,L
跟,and
可以,Can
上,superior
但,but
硂,Bleak
呢,Woolen cloth
這個,this
個,indivual
走,Walk
就是,that is
τ,bleak
看,Look
能,can
這是,This is
這樣,so
怎麼,how
如果,if
們,People
被,quilt
你們,you
或,or
事,thing
聽,listen
誰,Who
自己,Own
現在,Now
從,from
不會,Won't
真的,real
它,it
因為,because
沒有,No
ㄓ,Bleak
話,talk
璶,Bleak
著,Be
死,die
不能,cannot
謝謝,thanks
再,Again
先生,gentlemen
告訴,Tell
you,you
不要,don't want
妳,you
後,back
別,do not
the,the
只是,only
需要,need
快,quick
那個,that
m,m
ê,bleak
像,picture
叫,Call
穦,Bleak
該,Should
時候,when
可能,possible
i,I
碞,cliff
但是,but
所以,so
ぐ,Bleak
又,again
喜歡,like
見,See
找,Find
還有,and also
等,Wait
請,Please
我要,I want
這裡,here
一下,a bit
已經,already
一起,Together
這些,These
怎么,how
哦,Oh
裏,inside
盾,shield
才,talent
您,you
多,many
問題,question
殺,kill
還是,still
我會,I can
錢,money
孩子,child
看到,See
而,and
這麼,so
馬,horse
東西,thing
a,A
一樣,Same
應該,should
to,to
吃,eat
帶,bring
幫,help
弧,arc
工作,Work
笵,bamboo mold
時間,time
沒事,fine
用,use
哪,where
一定,must
稱,say
朋友,friend
開始,start
有人,Someone
s,S
嘿,Hey
希望,hope
啦,La
看看,have a look
回來,return
找到,turn up
嗯,Um
今天,today
長,long
地方,place
一直,Always
眔,Bleak
當然,certainly
於,At
不想,In no mood
抱歉,Feel sorry
最,most
筁,Bleak
天,sky
那些,Those ones
拿,take
ㄆ,Bleak
中,middle
以,by
可,Can
下,Down
真,real
你好,Hello
打,beat
只,Only
更,Even
所有,all
相信,Believe
那麼,So
起來,stand up
真是,Really
癸,Dwarf
it,IT
一切,everything
明白,clear
大家,Everyone
事情,matter
不起,Be unable to afford
爸爸,dad
時,Time
不過,but
覺得,feel
非常,Very
想要,want to
临,Go
發生,occur
大,Big
一,one
愛,Love
年,year
必須,must
呀,ah
與,and
準備,Prepare
倒,fall
媽媽,Mother
嘛,Well
ネ,Bleak
認為,think
比,Compare
離開,leave
and,and
妓,prostitute
這里,here
意思,mean
沒錯,Right
一點,a little
秨,Bleak
這兒,here
that,that
痷,Bleak
of,OF
太,too
跑,run
過來,come over
這種,This
已,already
翴,Bleak
常,often
只有,only
一次,once
ぱ,Bleak
拜,bye
快點,hurry up
摆,put
女人,woman
t,T
幹,Dry
р,bleak
不用,Need not
感覺,Feel
之前,Before
世界,world
可是,But
之,Of
pos,POS
發現,Find
辦,manage
瞷,Bleak
而且,and
一些,Some
很多,a lot of
向,Towards
出去,go out
小,Small
噢,Oh
等等,and many more
嗨,Hi
е,bleak
不行,no
出來,come out
任何,any
那樣,That way
名字,name
月,moon
生活,Life
住,live
兩個,two
地,land
開,open
卻,but
他媽,His mother
認識,know
喂,Hey
如何,how
我覺,I felt
ǐ,pilot
到底,in the end
肯定,affim
里,inside
琵,lute
擔心,Worry
最好,most
癬,Ringworm
怎樣,how
所,Place
羅,Luo
是不是,is not it
父親,Father
男人,man
前,forward
有點,A bit
重要,important
好像,like
in,in
暗,dark
懂,Understand
電話,Telephone
不錯,good
繼續,continue
買,purchase
官,official
親愛的,Honey
is,IS
要是,if
只要,if only
這么,so
錯,wrong
明天,tomorrow
回家,go home
得到,get
吹,blow
給我,give me
we,wee
ㄇ,Bleak
み,Bleak
正在,In
新,new
上帝,God
小姐,Miss
b,B
也許,Maybe
醫生,doctor
今晚,tonight
多少,How many
先,First
哪兒,where
寫,Write
哪裡,where
以前,before
它們,they
礛,Bleak
係,Tie
me,me
再見,goodbye
回去,go back
出,out
警察,police
怎麼樣,How about it
完全,completely
も,Bleak
ǎ,ǎ
ㄠ,Bleak
what,What
т,bleak
ゴ,Bleak
不到,Be unable to
記得,Remember
放,put
我能,I can
安全,Safety
女孩,girl
種,kind
那裡,There
兒子,son
還好,fine
蛤,Clam
ノ,Bleak
如此,in this way
復,complex
掉,Lose
不管,in spite of
其他,other
fn,FN
び,Bleak
い,い
聽著,listen
弄,alley
搞,Do
小心,Be careful
送,deliver
說過,Say
祇,Only
情況,Happening
喔,Oh
行,Row
產,Produce
那么,So
站,stand
狦,Bleak
好好,well
兄弟,brother
我來,I come
公司,company
結束,Finish
傢,Family
總,total
根本,fundamental
pro,pro
ρ,bleak
一天,one day
或者,or
進來,Come in
subhead,subhead
fncronos,fncronos
點,point
處,Place
確定,Sure
on,on
槍,gun
然后,Then
清楚,clear
this,this
高興,Happy
我現,I am present
機會,Chance
決定,Decide
穿,Put on
玡,Bleak
讽,Irony
託,Entrust
老,old
玩,Play
稲,Bleak
杠,Bars
家,Family
ウ,Bleak
he,he
混蛋,asshole
辦法,Method
歲,age
寶貝,baby
有些,some
方正,Square
女兒,daughter
睡,sleep
帝,emperor
其實,actually
手,hand
派,group
無法,Unable to
喝,drink
那邊,there
完,Finish
不了,Be unable to
ó,
竒,Bleak
女士,Miss
忘,forget
for,deor
伙,Partner
your,YOUR
猭,ape
坐,sit
每個,Every
軍,military
no,NO
過去,past
